1 ２六歩(27)   (0:14/00:00:14)
2 ３四歩(33)   (0:01/00:00:01)
3 ２五歩(26)   (0:02/00:00:16)
4 ３三角(22)   (0:01/00:00:02)
5 ７六歩(77)   (0:02/00:00:18)
6 ４二銀(31)   (0:01/00:00:03)
7 ７八金(69)   (0:02/00:00:20)
8 ８四歩(83)   (0:00/00:00:03)
9 ３三角成(88)   (0:06/00:00:26)
10 ３三銀(42)   (0:00/00:00:03)
11 ８八銀(79)   (0:01/00:00:27)
12 ８五歩(84)   (0:00/00:00:03)
13 ７七銀(88)   (0:01/00:00:28)
14 ３二金(41)   (0:00/00:00:03)
15 ４八銀(39)   (0:02/00:00:30)
16 ６二銀(71)   (0:00/00:00:03)
17 ４六歩(47)   (0:02/00:00:32)
18 ６四歩(63)   (0:02/00:00:05)
19 ３六歩(37)   (0:01/00:00:33)
20 ７四歩(73)   (0:02/00:00:07)
21 ３七桂(29)   (0:02/00:00:35)
22 ６三銀(62)   (0:01/00:00:08)
23 ４七銀(48)   (0:01/00:00:36)
24 ７三桂(81)   (0:01/00:00:09)
25 ６八玉(59)   (0:03/00:00:39)
26 ５二金(61)   (0:00/00:00:09)
27 ４八金(49)   (0:01/00:00:40)
28 ８一飛(82)   (0:02/00:00:11)
29 ２九飛(28)   (0:03/00:00:43)
30 ６二玉(51)   (0:01/00:00:12)
31 ９六歩(97)   (0:01/00:00:44)
32 ９四歩(93)   (0:00/00:00:12)
33 ６六歩(67)   (0:05/00:00:49)
34 ５四歩(53)   (0:00/00:00:12)
35 ５六銀(47)   (0:02/00:00:51)
36 ４四銀(33)   (0:01/00:00:13)
37 ２四歩(25)   (0:03/00:00:54)
38 ２四歩(23)   (0:01/00:00:14)
39 ２四飛(29)   (0:02/00:00:56)
40 ３五歩(34)   (0:24/00:00:38)
41 ２六飛(24)   (1:30/00:02:26)
42 ２五歩打   (0:33/00:01:11)
43 ２五飛(26)   (1:17/00:03:43)
44 ３六歩(35)   (0:07/00:01:18)
45 ４五桂(37)   (0:05/00:03:48)
46 ２四歩打   (0:36/00:01:54)
47 ２七飛(25)   (1:09/00:04:57)
48 ３五銀(44)   (0:25/00:02:19)
49 ３三歩打   (0:46/00:05:43)
50 ３三桂(21)   (0:09/00:02:28)
51 ３三桂成(45)   (0:03/00:05:46)
52 ３三金(32)   (0:03/00:02:31)
53 ４五桂打   (0:40/00:06:26)
54 ２三金(33)   (0:06/00:02:37)
55 ３四歩打   (0:22/00:06:48)
56 ３四金(23)   (0:06/00:02:43)
57 ２三角打   (0:41/00:07:29)
58 ４四金(34)   (0:02/00:02:45)
59 ３三桂成(45)   (0:11/00:07:40)
60 １五角打   (0:12/00:02:57)
61 ４七金(48)   (1:29/00:09:09)
62 ５五桂打   (0:20/00:03:17)
63 ５五銀(56)   (0:30/00:09:39)
64 ５五歩(54)   (0:01/00:03:18)
65 １六歩(17)   (0:17/00:09:56)
66 ３八銀打   (0:21/00:03:39)
67 １五歩(16)   (0:03/00:09:59)
68 ２七銀成(38)   (0:07/00:03:46)
69 ３四成桂(33)   (0:34/00:10:33)
70 ４九飛打   (0:13/00:03:59)
71 ３五成桂(34)   (0:33/00:11:06)
72 ３五金(44)   (0:08/00:04:07)
73 ５八銀打   (0:12/00:11:18)
74 １九飛成(49)   (0:07/00:04:14)
75 ３六金(47)   (0:52/00:12:10)
76 ３六金(35)   (0:21/00:04:35)
77 ４五角成(23)   (0:11/00:12:21)
78 ３七成銀(27)   (1:17/00:05:52)
79 ５四桂打   (0:31/00:12:52)
80 ７二玉(62)   (0:06/00:05:58)
81 ７五歩(76)   (0:05/00:12:57)
82 ４四金打   (2:30/00:08:28)
83 ４四馬(45)   (0:00/00:00:00)
84 ４四歩(43)   (0:00/00:00:00)
85 ７四歩(75)   (0:00/00:00:00)
86 ５四銀(63)   (0:00/00:00:00)
87 ７三歩成(74)   (0:00/00:00:00)
88 ７三玉(72)   (0:00/00:00:00)
89 ７四歩打   (0:00/00:00:00)
90 ６三玉(73)   (0:00/00:00:00)
91 ７五桂打   (0:00/00:00:00)
92 ５三玉(63)   (0:00/00:00:00)
93 ７三歩成(74)   (0:00/00:00:00)
94 ４八成銀(37)   (0:00/00:00:00)
95 ６九金打   (0:00/00:00:00)
